sentence_id	sentence	variant	sentence_domain	source	up_votes	down_votes	status
4c6261cc91a1888bf5e5250d73514dadb2fe1679e98dbe3d0ad0fb8be707974d	اندہ ہر جہ اماں نہالہ کام کرہ		general	امئیں	0	1	pending
4d96df4e68415f0254fd2dbd96062ec7aaa605ccf03ce40814f18201fba530da	ایک دیس مہ دَش گِلاس وے پو		agriculture_food	تاں حوالہ	1	0	pending
4f7825db391e1677d2f13230ac3c857cabc775f65792eca83450b0b6ae779d68	ہر ایک قومَیں ایک قَصہ‌ ہوئ تھی آں ایک تاریخ ہوئ تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
500d042245127d18e44e9d28d98c5278f7ff011e7e27555dd6cca32a6e741b6b	میڈیا آج بلال زاں کیرا چے ضرری ہوتیْ۔		media_entertainment	امئیں	0	1	pending
50308acbdc55ec374db64e9aca16fcce19a2485b5c6f070f1402fd6c3adb8765	تاں ٹینشَن څِریل ژیب مہ گلہ۔ چیناں متل		general	امَیں لِکہ چھی	0	1	pending
5056812c879f3452cc23d2604a9902f149cfb98caa51796fc671704f693a76a7	آں عدالتیوں مہ تسی لا بَہز ہوئ تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
5089a7b63b896c5440c91015c8c4236731edcacf8109751a3c730d154f32c9fe	تسیں ڈا پات تَس چَلَیں ایک طاقت ہوئ تھی۔		history_law_government	امَیں لِکہ چھی	1	0	pending
515331809000a424ebd19cfd497ca0ac342eec205067d676aedb29c54115a598	سُگائ گھریں مِلیۡ ژھان٘ل کری ہوئ۔			امَیں لِکہ چھی	1	0	pending
518504b4c9141379ef60f76329c95a5c1564080e4911bb1ac220813d86440407	اَس پُنیاک‌ نہ قانُوناں ایلیمنٹس وَیں بِڅَیں پَت ای تھی۔		history_law_government	Column for Magazine Shaari(Draft)	1	0	pending
52476c115bc43e11fdd2436ee62661d90aea2101366fd93b834fed63112592ad	ݜُو کھلچا مہ ایک مَتل تھو۔ باٹ تَئیں زیلا اُگھورو ہوئیتوْ۔		general	امئیں	0	1	pending
53224e56c86f2cfc19851844276866bc82ff080dc9c8fb37698d93589736aba4	ݜیں حُکمتیاں تعریف بَدلا گلاں تھہ۔ 		history_law_government	امَیں لِکہ چھی	1	0	pending
53bb69965a80cec1e23b9314f2c8f2367ee9603408c261f5b30729c69e5cbd34	کوہستاناں تُھو پُھنڈَو رِیحاناں تُھو			Poem for IK book for class 1	1	0	pending
54224a99dd9ff53173ecf4968b605f3cee2253060b34995cfbb27f558bf18e30	پکار تُھوْ چے تیں دماغ پوہہہ یعنی علمہ دی پون٘شېل ہو۔		general	امَیں لِکہ چھی	1	0	pending
542b3b03b1370836e9bc9aabeff1e97dfb117861b64e4776f5428a37f0ae0f3f	ایک ٹَک کرے گل دُونئی مہ ہرگیْ نہالاں ہاں۔		media_entertainment	امئیں	0	1	pending
558e7020bf9e526154f4156a1e92dc68b9e5909872d9912239f4cc3e07bc75df	تُو کہ ایک قوماں مُوٹُھو بیوں نھالیۡ تُھوْ کھیں تسی گھریۡماݜہ‌ وَیں حال نھالہ۔		general	امَیں لِکہ چھی	1	0	pending
5690859d828dbb66e355fed092f3c781e3c801967fe7941b44c5195a452d12dd	پن٘ژ کالؤں ہاریۡ تاں پُوڇ شہزادہ سَن٘دہ۔		general,language_fundamentals	امَیں لِکہ چھی	1	0	pending
5703468fbb1a10853ada84a770521ffb24b878a73877eea1e09f61f1619834da	آں ایک ماݜ کاں حُکمتی مِلیۡ گِشے چال چلن ہو تھی۔		history_law_government	امَیں لِکہ چھی	1	0	pending
57f75fb90bb7c6f08e1a965741c02d1be6096a81d825af8dc96fab7e115f3500	تیں گیْ کیخئی کھی تھی؟ افت وئیلوْ		general	امئیں	0	1	pending
58503b63b4e4b10410bc81800d5819b82c3d70f3ee292fab33709f81036a80d4	اݨہ لَدے کھا، خشک میوہ استعمال کری		agriculture_food	امئیں	1	0	pending
5889729548a792e668a5f30bfbbbf7abaa98a37a16e4580a548eeed211381e71	ݜیں دُویں بھِیؤں مہ ایک بھیوں ہرؤں الُوئ بھیں مِلیۡ،		general	امَیں	1	0	pending
5966af4ccdbb2dfdcb5c1305b79bfc5421da560d624092ffbf2f95db7bafe11c	کوہستان فارسی ژباں لفظ تھو اسیں مطلب کھݨواں علاقہ		general	امئیں	1	0	pending
5bfc3a25e4e0e13420401e1af4164901063ddd64ec19f2152334e0094912f922	تو سو سہات گھداں ݜِنگوں ڙئیر ہرجیلوْ۔		general	امئیں	0	1	pending
5c978836c999921e8769d89245383832f4d0df951095b4516db8821816ec50e1	ساریۡ دُنَیں یاں ݜُو قانُون تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
5d364ff3701072e00b8c91daf67d6961a146d0d1790018d44eb4f09c40393605	گی حال تھی؟		healthcare	امئیں	1	0	pending
5ea35f793444e6e25ac577f341f3e647dbd80b13d1c3401276eb3af690653c9f	زات می څَیں بلیاں مُو پشا تُھو۔		history_law_government	امَیں لِکہ چھی	0	1	pending
5eac9c29c51029cffbaee42b01fcd092233b2a915f0ccc8e93eb9ad035a6a3b5	زراعت آج وَختئیں بٹوں اہم ضررت تھی۔		agriculture_food	امئیں	1	0	pending
619e300e89bf6e780b85823f5b29a432bd3283a01e8478b7359d47e05453f1e9	اگار اللہ پاکَیں نعمت تھی		general	امَیں	1	0	pending
6283c84083898b83170cc2bdaf81bc3a79b7ab1600ca5c0d56e0ac4a6a4a566c	صحت اللہ پاکئیں چے گھئیں نعمت تھی		general	امئیں	1	0	pending
62e135f7557164aab3caa9fccece04f9f95df767fd2350ce295fab284c9d54a3	اِٹلی یاں فِلمہ تے موسیقی دُنَیں مہ مشہور تھہ۔		general	امَیں لِکہ چھی	1	0	pending
6382bf22b3b59ac784e8b9c899aa483d0aa017e2269746ea870c51ec8d3b8b1e	اِٹلی مہ چے سُگا آں تاریخی خہرہ تھہ۔		general	امَیں لِکہ چھی	1	0	pending
643a164911ac142d7522a122b30fe19e6cd8c88e9264e2f09fc7000d83814081	سوشل میڈیاں چے کم نقصانہ گت تھو		media_entertainment	امئیں	1	0	pending
6554a8f7cbc693542a29b1dac7c0ceb2f3ed8b122346988e4cfa3eb682901edc	دونئی دو دیسئیں تھی سورسی نکالہ اس سورسی نکالہ		general	امئیں	0	1	pending
65a371d5eeecd7275fced7febf8d8882b18029b09d47a93783b3dda3471b4035	گِن چے اسی مہ رِواج، مذہب آں بِگ بِگ عوامِل ایں تھی		history_law_government	امَیں لِکہ چھی	1	0	pending
66562614c7e3d145d8ad8f1b25fa0fa4f157e6075b55b457858817d5804acc68	کوہستان کے پی کے صوباں ایک ضلع تھو		general	امئیں	1	0	pending
68679bfd00dac3dea0f17b6db2f7109fff5c5561a3630e93e10d2f6decbab4af	ہوئیں بنِگ چے اسیں مقصد یا زرَت یعنی ضرورت گی تھی۔		history_law_government	امَیں لِکہ چھی	1	0	pending
68fb218a7c0c8965d112b1b39ded46fa4309f84e13306f5c7621c277cda532b4	قانون سِڇھیائ تُھو چےخَلکاں ایک مُت مِلیۡ تعلق گِشے ہو تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
6a124d122930b3b852e7c7581a6aa7e483d860e03f6686360f3495509d0e1648	ہِندی ژیباں متلہ آژکل دُنَیں مہ پڑُژاں تھہ۔		general	امَیں لِکہ چھی	1	0	pending
6a3564275c7732c8b7fbc71035f1eb2db557f17622611d054d70326421075a7a	ڇا پانج نیرہ، اماں نہے لہ ݜُنداں		general	امئیں	0	1	pending
6b78a696e1b4d8d492f2a503f00ce32bc9121825a0a0e4269bf1b52e0f689f4e	او انسان مہ سستی پیدا کرہانس		media_entertainment	امئیں	1	0	pending
6ecc380c04cba8f0b6b2ad649a101cc6a767776f8337f7eaed5a08753e40efd5	بُول بھاؤ یا سینیٹ، مُون بھاؤ یاقومَیں اسمبلی بناں تھہ۔		history_law_government	امَیں لِکہ چھی	1	0	pending
6ed23577a1d60d05ee438b129ae665b29b1dfaa716a166e0f3f7ce66cf25e01e	ہر قسماں پیغام تاں سَکوں تے مرگلیوں ڇیلا ہاں۔		media_entertainment	امئیں	1	0	pending
6f114757aef35e2ffd6a5107b734f8a04a6442f016a47467a24426c785bdf9b2	چے قانُوناں ݜے پُنیاک نی تھی چے تسی لا بُٹ پورژیل آں کراں۔		history_law_government	امَیں لِکہ چھی	1	0	pending
6fb7127c22c04364f8eb5f3d7ddadfcc74f04647f3cdee2b18c330b2f6472eb5	تیں ݜِݜ کھم۔		general	امئیں	0	1	pending
7011d79bc87d3b0fd73f597bdfaf2bd2a0f19a049ca2eab0e2f672e7ecbda994	سوْ ماݜ نہ‌ بھی کؤں چے تَیں ایمانداریں قصی کیر تُھوْ۔		general	امَیں لِکہ چھی	1	0	pending
712fe69b9408215a7c75548d68b0ac9fa330fa9a53e9e80f73ff856c8af768d7	چنسر ڈھانڈ دوبیر مج تھہ		nature_environment	امئیں	0	1	pending
71be24301f45da736e98ed575fb194b5e86eab3e788dd880908b1ee4b98351c5	اگار گوْیا چِہ تو تپوژہ		general	امَیں	1	0	pending
7376683c1668aaac9b267d581afae72dc3a13c833633af1cfa4b9e2d91870860	آج سوْ گُلہ تھو کؤں آنسو بلالہ		general	امئیں	0	1	pending
73dc1b69d8248f6054f267a9485d9d76f797e5b830475a43fbf4ac7c6e9f964c	خلکہ لہ‌سبق نوکریاں دَن بناں تھہ۔			امَیں لِکہ چھی	1	0	pending
752bf3a98f68104187186d8d3f9a23a84098b0cf1a2fd795fa887ba1ce5b8a44	ایں مُعاملہ امَیں حل نے را تھہ بلکے عدالتی مُوٹھی چھا تھہ۔		history_law_government	امَیں لِکہ چھی	1	0	pending
76cc2d06aff36800fee26062dbe13f30d4991c9c63161103359c9dcbb29ab8b3	کؤں وطنہ مہ قانُون نی ہُون٘د کھیں حقدارے تاں حق نی مِلیۡ تُھو۔ 		history_law_government	امَیں لِکہ چھی	1	0	pending
7af0dc5493652641075cf4975617ee4bcc19accdb48782e2d0727130e2ca596f	خلکہ پوری نِوانٛز قبول نیْ ہوئی تھوْ		general	امَیں	0	0	pending
7b0e6b492c14f00da9f1e412d8952eb0ffd78d54c0d210e9af2641b0a207dc98	تئیں ہلالیں بلیْ بیان کرے روگلے		general	امئیں	1	0	pending
7c1ccd53bdf738f5568ad257601c87989a54c88800374ab8d80f651d3d9e5499	سکونَیں زِندگیاں کِریا قانُون ہوں چو لازمی تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
7d110ae883b3f14d2b08733ec7cb2ec3c06efdfab68712408146432180eb7ac7	 قانُون سَن٘دؤں چاقواں کام تُھو گِن چے بے کؤں قانُون سان٘د۔۔		history_law_government	امَیں لِکہ چھی	1	0	pending
7de13c3fc82303be8c4707b9eea3cf3a4e8866faa9f8c2a57fee093df3dd963e	تیں څوکئیں کن دجی تھی؟		general	امئیں	0	1	pending
7e4946719e40ac48dcdb9d16380c2d7c68df76f4750ed4fc10ea0e37a437cec9	آج وزیرستان مہ خوارجوں فوجئیں چھاؤنی تل حملہ کیر۔ چوندش سپاہی شہید ہون۔		news_current_affairs	امئیں	1	0	pending
7ee77ab74001874ae24d304f89330e945e315b8d45842231b1629e5efa95bab5	کېں تاں گؤن٘ڈی واں بھاؤ جھڑقاؤ کھیں تسیں تاں بھاؤ ہُم‌ وی تُھوْ۔		general	امَیں لِکہ چھی	1	0	pending
7f0d17d4891aca98a00c21516cd3643ae02bc3ecfe19b12694d0a3f78bc39e31	یتیمے روزہ دَھوں دیسہ ڙیْگی ہوں تھوْ		general	امَیں	1	0	pending
7f16ded435988bc149d6af5769c82849548bae97ecb3863a67cb13572222ad94	اسیں مِثال ݜے تھُو چے ایک ماݜ گھریۡماݜ کہ مِلیۡ ژھان٘ل کېر،		general	امَیں	1	0	pending
7f6f22bcbd78bd6b56ae2d2e2d7d2142fbd2a32acf6d5eaeab58135ba2e4a493	ݜَلہ گیْ لکہ چے؟		general	امئیں	0	1	pending
7f7db7ccdd0b9c0e72942af50504feb50f34503ad3b99bcb6a4bdfe79ad2e7bf	قانون سِڇھیائ تُھو چے خَلکاں ماحول تے مال مِلیۡ رویّہ گی ہوں پکار تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
7feb01eccd9cd8a72b7baae580784d127b1cd707e26fbe9b2b9fe7795048a4f2	میڈیائے انسانوئیں زوندنی چے ہَسان کرہ چےْ۔		media_entertainment	امئیں	0	1	pending
80bc243ef31744ddb07071b868a453bfeda0913a4df0661613e7a2d82b3ed483	کسیں ڈا لا شِشیل گھاؤ ہُوۡن٘دُوں، سو ہمیش اَگار نہ بھی تُھو۔			امَیں لِکہ چھی	1	0	pending
81183cc9a7ae51e844479e9026c640f91deb94eff569928a897e946095669f01	کؤں چے بِکسی نہ بِگ ہریۡ تُھو تسے اسیں ذکر کرؤں پکار تُھو۔		general	امَیں لِکہ چھی	1	0	pending
8283ca03e7bc59a6427bed201fd36f917732eaa49ad633d13b2593a9771e7134	ٹیلی ویژن جدید میڈیاں ایک مثال تھو۔		media_entertainment	امئیں	1	0	pending
829611fd3f4a7a50d03389b7eac73ca86bc00c3a5ea432203b345ce009894e8a	گولیْ کھا سوْ سہات تَل وے نیْ پو۔		agriculture_food	امئیں لکھہ چہ	0	1	pending
85998f37c45fbcf2db551df0ebf30e7131d6c12c5ff45ef78f74fedac9d65228	رُوݜ ایک استِق اُوش تھی چے کؤں عقلاں ڇوۡل ژِھکائ تُھو۔		general	امَیں لِکہ چھی	1	0	pending
8643a3d0d0f03a04c5a20a6573a97d17bcba960ea42eaff1395aa1f627b45854	ݜے کمہ نیری چِہ تسیْ لا پَتَیں پېخمانتیا اے		general	امَیں	1	0	pending
864df6880f7102483851de96bbaf91edba38934c88c295b7d1ca17dbe1df95e3	گی حال تھی		healthcare	امئیں	1	0	pending
87a9aca91e40bc8f4806e4844f5266ae3b58719e36855217ffeda2a723b4fd20	سلاداں استعمال صحتیاں کیرا چے ضروری تھو۔		healthcare	امئیں	1	0	pending
88992540f3837782dd1cb57a609e90e073f40f070e11ce08ade9ba7b0036ba90	آں اَس بلیں صفائ تلہ ہو تھی چے ایں قانُون شارہ چھی گی نَیں۔ 		history_law_government	امَیں لِکہ چھی	1	0	pending
891d271261c9b7e1fa1d6f5bca0cba90024bd50d479b6ac6e75a2fff01272647	او انسان، مرگ نیۡ اؤن٘ݜیا، گِن چےۡ اسی نہ تُو کلَیں نی اؤن٘ݜی٘ تُھو۔		general	self	1	0	pending
89e63a4c41cab2ddafac283e19cce2bcf45c2a17614c39f35d4434db4faa2816	آج تلیْ تلیْ کھیجیْ گا		general	امئیں	0	1	pending
8c7284de16b7d1444b89295ca50f2e1600340e1ce52052ad312fc3a67d951e7c	مکائیں څوکئیں لم بھلوئی گن ہوئیتیْ؟		general	امئیں	0	1	pending
8ccc1c261d2811a67de2f4fd53e5a39e861c65d2cf2e083766c3afe4c5e45ea3	فِرن٘گہ‌ واں متلہ ہُخیارتیا نہ پون٘شیل ہوں تھہ۔		general	امَیں لِکہ چھی	1	0	pending
91c08397ca6942c33662d834e646a08a443321e0b94ebb74aafd7cb4ecc30bb3	وخ نا وخ گولیْ نیْ کھا آں ٹیم ٹیم لا گولیْ کھا۔		agriculture_food	تاں حوالہ	0	1	pending
920c40fdb95ca868cb7f833aab9801a08ca9f8e575058e2e5b8465f1b84cf9c0	قانُون رِن٘گالی اِداری چُلا تھی، لَک: پولسہ، ایف آئ اے ہُوگے یا مُت۔ 		history_law_government	امَیں لِکہ چھی	1	0	pending
92a78a8598a5eab442fa10247a52a2fbe8e0d4a064c96d4e9ddf270c9a4eaa13	کؤں سِوَیں حقیقتاں نظر ہِن نھالیۡ تُھو کھیں سو خلکؤں معاف کرا تُھو۔		general	امَیں لِکہ چھی	1	0	pending
92c5be5462919a7b33be76cf684317ba7d7b295378faf29075e94b6672259327	اسکاٹ لېن٘ڈی واں متلہ چے گِران ہوں تھہ۔		general	امَیں لِکہ چھی	1	0	pending
93aba020b04b46a90f70841b8940f1165fbe67154a8f0aa6ac0d8e8d542737eb	پاکستان ایک مسلم ملک تھو۔		history_law_government	امئیں	1	0	pending
940c7395beed1575a7639f478b4bc6e216a6e0127ae0affa628ecedacf6d33e1	مَہ غیرتمند تُھو مُتَو کوں مِئیں شاناں تُھو			Poem for IK book for class 1	1	1	pending
94d45ec36851c377902fdbcd36de6fe0c423e2084991b5e3dfacccfde4b06fb1	گِن چے بِس تسیں ظاہر نھالِگ تھہ۔ 		general	امَیں لِکہ چھی	1	0	pending
96d970272ff5c90d79969df237918ef503b1628bd2441a67d63041dbd8a5be33	ایک ان٘گریز قانون پوہ، جان آسٹِن بانیۡ تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
9732de41c770eef04cb0fbec0834dc05848a0218ae86853deec842e012d55eff	ݜُو شاناں ہر قانون پوہے تَیں شَمُو قانُوناں پُنیاک آں تعریف کر چھی۔		history_law_government	امَیں لِکہ چھی	1	0	pending
9765c7df92ccb27204adb674d92872487ad026bd0c5b21628af82a1809d7ba32	دفعہ ہو،  تیں نوݜیْ، تیں نَݜی		general	امئیں	0	1	pending
9769e4ccd285d615a879c14a23c65fd375fe60fba5691f6567c0f1c432ab1235	قُراں ڈاپات گلے ماݜ گِھلیں شُعبم موٹھوْ نیْ بیں تھوْ		general	امَیں	1	0	pending
9a597969f054557a2bf8eb88cdb58714b80763fe6696392480da6278714c61da	مندرازاں ملاݜیْ		general	چو وختاں ملاݜیْ	1	0	pending
9c1c57fd3bc8100daabcd00e1daadd4a1ae582c2ceae5458e408b54111c41f66	پُرتگالاں فُٹ بالہ چے تکڑہ ہوں تھہ۔		general	امَیں لِکہ چھی	1	0	pending
9fb6e51b95cd26ee1a600c31c66f006989d82dd599fcb99a23c48078f79f01b5	دیناں کم مہ سیالی کری		general	امَیں	1	0	pending
a00bfac52e68209f02c1f9a4f12d3c1c1760d7156a005d04319d0edc52d6a24c	اماں لا پورجی تاں وخ نیْ نشائیْ۔		general	امئیں	0	1	pending
a043f2a882a300f4dc0038f541c60e61d4401bb39cdb2fe7305729b8d68db874	ہِندی ژیب تے کوستَیں ژِبہ مہ چے لفظہ ایک رَن٘گاں تھہ۔		general	امَیں لِکہ چھی	1	0	pending
a0e34e2a911ce7b76ef5e37c3f417396b995020981d0deba5d633cfb4c643d57	کسیں اچھار نېری		general	امَیں	1	0	pending
a325d121c480992782d00a269cfe00b45493e57f69f99efe8a538c2d4bb4abb8	اَن٘گرزی ژیب وختَیں زرت تھی۔			امَیں لِکہ چھی	1	0	pending
a4a3550e203aa52e44f658ad0616397ef819a4d02690f0230888a622c3e25907	تیں بن مہ پھو نکا		general	امئیں	0	1	pending
a5bb0001d02f6449a4242942082da07279c90ebe5d922761704137dd8d6c9eb0	گولیْ تُشاروْ نیْ کھا۔		agriculture_food	تاں حوالہ	0	1	pending
a60739d74ce30be02e2c7cb9b192bad92441a7eb3d2568ffba52dec57065fa3d	تُرکواں کھؤں پوں آں ݜؤں خاص یورپیوَیں شُو تُھو۔			امَیں لِکہ چھی	1	0	pending
a88ecfc36aed94e86882a5033d1dee99a73df2f331508ce8d12214952ba54346	وَطن ہَوتَو مِئیں عِلمَہ لَہ بُٹَو ڇَل			Poem for IK book for class 1	0	1	pending
a8a8f4f4f96f7538e4b3e3c90b2e5b094e3a4616ea9aa8fbe3b01fe78d82ce4e	توْ گیْ اوتیْ پوتی نبانیْ تھو۔؟؟		general	او ایک متل تھیْ	0	1	pending
a9341437e0a0d6ad5304d8dbc5209e68db4377a2b6bee632453496b51b3956f0	 قانُون گھیں خَلکہ واں لیکھ خلکؤں لا حُکُم تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
aafbfb0db57c6030b72e165272483e016696eb7c7b68f497de763dc07934b32a	حُکمت ݜسے بناں تھہ چے خَلکہ اما لا گھیرہ مقرر کراں تھہ۔		history_law_government	امَیں لِکہ چھی	0	1	pending
ab5d631d470b38cd9457fe539528b01cbae5f2a8ee97587258e5077b7488d2e4	پاکستان مہ گھئیں گھئیں کورہ تے سینہ تھی۔ پاکستانئیْ ابادی چورئیں بیش کروڑ تھی۔		general	امئیں	0	1	pending
ac4bd88716f406b78bb7ff12c642efe22671261af5b5e836600185272644567c	ایک کالہ مہ ڇا شَل تےْ ڇا بِیشوئیں پانج دیسہ ہونتہ۔		general	امئیں	0	1	pending
ac55d4a4e4dafdc09368d51ece1fe5a5d09919d1b0f41b6dca6cdc189b9ad578	بھاں کَرَو بہراں کوْچوْرو ہوئی ثھوْ		general	امَیں	0	1	pending
ad63c102334f40f1fccc3789515bc5603ed24be4caa0552cb1679c1530ccb4cd	سَم بال رزائیْ اَڅھکیْ بال پَلائیْ		general	امئیں	0	1	pending
ad883c3232efac946d93bc38017bab95086f5e69f57f1cda331476813dc1577e	کاں ماݜؤں دُوئیں آن٘ڇھیوں نہ چئ آن٘ڇھی وَیں زرت ہُوۡئ تھی۔			امَیں لِکہ چھی	1	0	pending
adc377c6cc7a3bf4c60124f8fc9184ad15df39abd4d49655fb0730fc633d964d	یا گھرماݜہ وَیں ہر یون٘ہَیں بیماری اېوں ہُم نِوان٘زاں دن رٹان٘لہ تھہ۔		general	امَیں	1	0	pending
aefd4a7530f7ac31aca869f34b91a93a56f1d9c5c7fba181400226f0e1763c71	ڙھؤ خلکہ پولین٘ڈاں متلہ یادی کراں تھہ۔		general	امَیں لِکہ چھی	1	0	pending
afb0d8d29c6dd9354e608e8329567a634d79d90f2280827003e1f6d6cfa90be5	فران٘ساں خلکہ‌ واں فیشن چو مشہور تُھو۔		general	امَیں لِکہ چھی	1	0	pending
b00f0a8dae6632138e3644a42865219a8c6c789d2f8294412bccf4ceaeb706f4	تَیں جلوسَیں ݜس ژیب دے۔			امَیں لِکہ چھی	1	0	pending
b094b9b9a9081855c184a36449d8bdc31d58d82dfb54e1b175e34ded00790aa9	ݜیں بُٹیۡ بلیوں لا تَل گتہ ہُم قانوناں لا عملیاں امید تُھو۔		history_law_government	امَیں لِکہ چھی	1	0	pending
b22605590767a9cd5a616ff96e22e5719d4203cb8b163b71902f214731789ba9	موبائل آج بلال انساناں کئیرا چے ضرری ہوتوْ۔		technology_robotics	امئیں	0	1	pending
b2c5750a5e5a74f4a3a6a378cad4100e8073fea527d25836567d31c6fea15f6e	کھیں اُو ہُوئیں تَیں سرَیں مِلیۡ ژھان٘ل نېرَیں تھُو۔		general	امَیں	1	0	pending
b2e5da55b813ca5150b407284390123c4c8de735e433d5f7e0fc0b75f4e1a34e	سُگائ‌ یار بُٹؤں نہ گَھیں سفارش‌ تھی۔ 		general	امَیں لِکہ چھی	1	0	pending
b2f0eb80eb4174d73a18c4f390ff1a1fbf5af5f0757d7e34b83c238fda16619f	 ولے ݜُو ہُم رُشتا تھی چے دُنَیں مہ ݜِݜہ لا ݜِݜ تُھو۔		general	امَیں لِکہ چھی	1	0	pending
b60a37962dbcb6a2375e911361d8c7b96fefd7391e271e4fc6b28971518c165b	کوہستاناں تُھو پُھنڈَو ریحاناں تُھو			Poem for IK book for class 1	1	0	pending
b95a06b7179715e7a1b5b77a22f7271591065aa7e7ceab25e3b4f073d829d302	خلکہ واقعات تے حالاتوں نہ پورجاہاں		media_entertainment	امئیں	0	1	pending
